,iat,lt,tot,pt,name,mean,uf
0,60.0,15.0,15.0,60.0,AirportResponseTime:mean,90.0,0.5
1,60.0,15.0,15.0,60.0,DepartQueueSize:mean,0.5,0.5
2,60.0,15.0,15.0,60.0,DepartQueueWaitingTime:mean,0.0,0.5
3,60.0,15.0,15.0,60.0,HoldingQueueSize:mean,0.0,0.5
4,60.0,15.0,15.0,60.0,HoldingQueueWaitingTime:mean,0.0,0.5
5,60.0,15.0,15.0,60.0,ParkedPlanes:mean,0.5000024999875,0.5
6,60.0,15.0,15.0,60.0,Runwayutilization:last,0.49999500007500003,0.5
7,60.0,15.0,15.0,75.0,AirportResponseTime:mean,105.0,0.5
8,60.0,15.0,15.0,75.0,DepartQueueSize:mean,0.0,0.5
9,60.0,15.0,15.0,75.0,DepartQueueWaitingTime:mean,0.0,0.5
10,60.0,15.0,15.0,75.0,HoldingQueueSize:mean,0.0,0.5
11,60.0,15.0,15.0,75.0,HoldingQueueWaitingTime:mean,0.0,0.5
12,60.0,15.0,15.0,75.0,ParkedPlanes:mean,1.4999975000125,0.5
13,60.0,15.0,15.0,75.0,Runwayutilization:last,0.49999375010936997,0.5
14,60.0,15.0,15.0,90.0,AirportResponseTime:mean,120.0,0.5
15,60.0,15.0,15.0,90.0,DepartQueueSize:mean,0.0,0.5
16,60.0,15.0,15.0,90.0,DepartQueueWaitingTime:mean,0.0,0.5
17,60.0,15.0,15.0,90.0,HoldingQueueSize:mean,0.4999975000125,0.5
18,60.0,15.0,15.0,90.0,HoldingQueueWaitingTime:mean,0.0,0.5
19,60.0,15.0,15.0,90.0,ParkedPlanes:mean,1.4999975000125,0.5
20,60.0,15.0,15.0,90.0,Runwayutilization:last,0.49999250015,0.5
21,60.0,15.0,20.0,60.0,AirportResponseTime:mean,95.0,0.5833333333333334
22,60.0,15.0,20.0,60.0,DepartQueueSize:mean,0.5,0.5833333333333334
23,60.0,15.0,20.0,60.0,DepartQueueWaitingTime:mean,0.0,0.5833333333333334
24,60.0,15.0,20.0,60.0,HoldingQueueSize:mean,0.0,0.5833333333333334
25,60.0,15.0,20.0,60.0,HoldingQueueWaitingTime:mean,0.0,0.5833333333333334
26,60.0,15.0,20.0,60.0,ParkedPlanes:mean,0.5000024999875,0.5833333333333334
27,60.0,15.0,20.0,60.0,Runwayutilization:last,0.58332659732888,0.5833333333333334
28,60.0,15.0,20.0,75.0,AirportResponseTime:mean,110.0,0.5833333333333334
29,60.0,15.0,20.0,75.0,DepartQueueSize:mean,0.0,0.5833333333333334
30,60.0,15.0,20.0,75.0,DepartQueueWaitingTime:mean,0.0,0.5833333333333334
31,60.0,15.0,20.0,75.0,HoldingQueueSize:mean,0.0,0.5833333333333334
32,60.0,15.0,20.0,75.0,HoldingQueueWaitingTime:mean,0.0,0.5833333333333334
33,60.0,15.0,20.0,75.0,ParkedPlanes:mean,1.4999975000125,0.5833333333333334
34,60.0,15.0,20.0,75.0,Runwayutilization:last,0.58332513903912,0.5833333333333334
35,60.0,15.0,20.0,90.0,AirportResponseTime:mean,137.0,0.5833333333333334
36,60.0,15.0,20.0,90.0,DepartQueueSize:mean,0.16666666666667002,0.5833333333333334
37,60.0,15.0,20.0,90.0,DepartQueueWaitingTime:mean,2.0,0.5833333333333334
38,60.0,15.0,20.0,90.0,HoldingQueueSize:mean,0.44443950622771,0.5833333333333334
39,60.0,15.0,20.0,90.0,HoldingQueueWaitingTime:mean,9.999800003999901,0.5833333333333334
40,60.0,15.0,20.0,90.0,ParkedPlanes:mean,1.5,0.5833333333333334
41,60.0,15.0,20.0,90.0,Runwayutilization:last,0.58332326414901,0.5833333333333334
42,60.0,15.0,25.0,60.0,AirportResponseTime:mean,100.0,0.6666666666666666
43,60.0,15.0,25.0,60.0,DepartQueueSize:mean,0.5,0.6666666666666666
44,60.0,15.0,25.0,60.0,DepartQueueWaitingTime:mean,0.0,0.6666666666666666
45,60.0,15.0,25.0,60.0,HoldingQueueSize:mean,0.0,0.6666666666666666
46,60.0,15.0,25.0,60.0,HoldingQueueWaitingTime:mean,0.0,0.6666666666666666
47,60.0,15.0,25.0,60.0,ParkedPlanes:mean,0.5000024999875,0.6666666666666666
48,60.0,15.0,25.0,60.0,Runwayutilization:last,0.66665805569907,0.6666666666666666
49,60.0,15.0,25.0,75.0,AirportResponseTime:mean,115.0,0.6666666666666666
50,60.0,15.0,25.0,75.0,DepartQueueSize:mean,0.0,0.6666666666666666
51,60.0,15.0,25.0,75.0,DepartQueueWaitingTime:mean,0.0,0.6666666666666666
52,60.0,15.0,25.0,75.0,HoldingQueueSize:mean,0.0,0.6666666666666666
53,60.0,15.0,25.0,75.0,HoldingQueueWaitingTime:mean,0.0,0.6666666666666666
54,60.0,15.0,25.0,75.0,ParkedPlanes:mean,1.4999975000125,0.6666666666666666
55,60.0,15.0,25.0,75.0,Runwayutilization:last,0.66665638908588,0.6666666666666666
56,60.0,15.0,25.0,90.0,AirportResponseTime:mean,143.333,0.6666666666666666
57,60.0,15.0,25.0,90.0,DepartQueueSize:mean,0.249992499925,0.6666666666666666
58,60.0,15.0,25.0,90.0,DepartQueueWaitingTime:mean,3.3332,0.6666666666666666
59,60.0,15.0,25.0,90.0,HoldingQueueSize:mean,0.4000023999664,0.6666666666666666
60,60.0,15.0,25.0,90.0,HoldingQueueWaitingTime:mean,9.999900001,0.6666666666666666
61,60.0,15.0,25.0,90.0,ParkedPlanes:mean,1.4999975000125,0.6666666666666666
62,60.0,15.0,25.0,90.0,Runwayutilization:last,0.66665361141573,0.6666666666666666
63,60.0,15.0,30.0,60.0,AirportResponseTime:mean,105.0,0.75
64,60.0,15.0,30.0,60.0,DepartQueueSize:mean,0.5,0.75
65,60.0,15.0,30.0,60.0,DepartQueueWaitingTime:mean,0.0,0.75
66,60.0,15.0,30.0,60.0,HoldingQueueSize:mean,0.0,0.75
67,60.0,15.0,30.0,60.0,HoldingQueueWaitingTime:mean,0.0,0.75
68,60.0,15.0,30.0,60.0,ParkedPlanes:mean,0.5000024999875,0.75
69,60.0,15.0,30.0,60.0,Runwayutilization:last,0.74998937518593,0.75
70,60.0,15.0,30.0,75.0,AirportResponseTime:mean,120.0,0.75
71,60.0,15.0,30.0,75.0,DepartQueueSize:mean,0.0,0.75
72,60.0,15.0,30.0,75.0,DepartQueueWaitingTime:mean,0.0,0.75
73,60.0,15.0,30.0,75.0,HoldingQueueSize:mean,0.4999975000125,0.75
74,60.0,15.0,30.0,75.0,HoldingQueueWaitingTime:mean,0.0,0.75
75,60.0,15.0,30.0,75.0,ParkedPlanes:mean,1.4999975000125,0.75
76,60.0,15.0,30.0,75.0,Runwayutilization:last,0.74998750025,0.75
77,60.0,15.0,30.0,90.0,AirportResponseTime:mean,149.9997,0.75
78,60.0,15.0,30.0,90.0,DepartQueueSize:mean,0.33332444432591996,0.75
79,60.0,15.0,30.0,90.0,DepartQueueWaitingTime:mean,0.0,0.75
80,60.0,15.0,30.0,90.0,HoldingQueueSize:mean,0.4000023999664,0.75
81,60.0,15.0,30.0,90.0,HoldingQueueWaitingTime:mean,14.9998500015,0.75
82,60.0,15.0,30.0,90.0,ParkedPlanes:mean,1.4999975000125,0.75
83,60.0,15.0,30.0,90.0,Runwayutilization:last,0.7499837504062399,0.75
84,60.0,20.0,15.0,60.0,AirportResponseTime:mean,95.0,0.5833333333333334
85,60.0,20.0,15.0,60.0,DepartQueueSize:mean,0.5,0.5833333333333334
86,60.0,20.0,15.0,60.0,DepartQueueWaitingTime:mean,0.0,0.5833333333333334
87,60.0,20.0,15.0,60.0,HoldingQueueSize:mean,0.0,0.5833333333333334
88,60.0,20.0,15.0,60.0,HoldingQueueWaitingTime:mean,0.0,0.5833333333333334
89,60.0,20.0,15.0,60.0,ParkedPlanes:mean,0.5000024999875,0.5833333333333334
90,60.0,20.0,15.0,60.0,Runwayutilization:last,0.58332743064901,0.5833333333333334
91,60.0,20.0,15.0,75.0,AirportResponseTime:mean,110.0,0.5833333333333334
92,60.0,20.0,15.0,75.0,DepartQueueSize:mean,0.0,0.5833333333333334
93,60.0,20.0,15.0,75.0,DepartQueueWaitingTime:mean,0.0,0.5833333333333334
94,60.0,20.0,15.0,75.0,HoldingQueueSize:mean,0.0,0.5833333333333334
95,60.0,20.0,15.0,75.0,HoldingQueueWaitingTime:mean,0.0,0.5833333333333334
96,60.0,20.0,15.0,75.0,ParkedPlanes:mean,1.4999975000125,0.5833333333333334
97,60.0,20.0,15.0,75.0,Runwayutilization:last,0.5833259723571701,0.5833333333333334
98,60.0,20.0,15.0,90.0,AirportResponseTime:mean,136.25,0.5833333333333334
99,60.0,20.0,15.0,90.0,DepartQueueSize:mean,0.2,0.5833333333333334
100,60.0,20.0,15.0,90.0,DepartQueueWaitingTime:mean,3.75,0.5833333333333334
101,60.0,20.0,15.0,90.0,HoldingQueueSize:mean,0.42856653066822,0.5833333333333334
102,60.0,20.0,15.0,90.0,HoldingQueueWaitingTime:mean,7.4998500029999,0.5833333333333334
103,60.0,20.0,15.0,90.0,ParkedPlanes:mean,1.5,0.5833333333333334
104,60.0,20.0,15.0,90.0,Runwayutilization:last,0.58332493077262,0.5833333333333334
105,60.0,20.0,20.0,60.0,AirportResponseTime:mean,100.0,0.6666666666666666
106,60.0,20.0,20.0,60.0,DepartQueueSize:mean,0.5,0.6666666666666666
