run,type,module,name,attrname,attrvalue,value
ExponentialRegimeStable-48964-20200223-04:07:50-15713,runattr,,,configname,ExponentialRegimeStable,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,runattr,,,datetime,20200223-04:07:50,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,runattr,,,experiment,ExponentialRegimeStable,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,runattr,,,inifile,./simulations/omnetpp.ini,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,runattr,,,iterationvars,"$iat=90, $lt=30, $tot=30, $pt=90",
ExponentialRegimeStable-48964-20200223-04:07:50-15713,runattr,,,iterationvarsf,"iat=90,lt=30,tot=30,pt=90-",
ExponentialRegimeStable-48964-20200223-04:07:50-15713,runattr,,,measurement,"$iat=90, $lt=30, $tot=30, $pt=90",
ExponentialRegimeStable-48964-20200223-04:07:50-15713,runattr,,,network,AirTrafficControl,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,runattr,,,processid,15713,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,runattr,,,repetition,4,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,runattr,,,replication,#4,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,runattr,,,resultdir,/media/luigi/88A4ABD5A4ABC3D2/results,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,runattr,,,runnumber,48964,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,runattr,,,seedset,4,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,itervar,,,iat,90,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,itervar,,,lt,30,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,itervar,,,pt,90,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,itervar,,,tot,30,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,param,,,**.airspace.interArrivalTime,90,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,param,,,**.airspace.landingTime,30,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,param,,,**.parkingarea.takeoffTime,30,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,param,,,**.parkingarea.parkingTime,90,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,param,,,**.warmup,20000,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,param,,,**.scaling,1,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,param,,,**.airspace.isInterArrivalTimeRandom,true,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,param,,,**.airspace.isLandingTimeRandom,true,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,param,,,**.parkingarea.isParkingTimeRandom,true,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,param,,,**.parkingarea.isTakeoffTimeRandom,true,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,param,,,**.airspace.totalSamples,100000,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,scalar,AirTrafficControl.airspace,AirportResponseTime:mean,,,269.61282678
ExponentialRegimeStable-48964-20200223-04:07:50-15713,attr,AirTrafficControl.airspace,AirportResponseTime:mean,source,AirportResponseTime,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,attr,AirTrafficControl.airspace,AirportResponseTime:mean,title,"Airport Response Time, mean",
ExponentialRegimeStable-48964-20200223-04:07:50-15713,scalar,AirTrafficControl.airspace,HoldingQueueWaitingTime:mean,,,60.018667133328
ExponentialRegimeStable-48964-20200223-04:07:50-15713,attr,AirTrafficControl.airspace,HoldingQueueWaitingTime:mean,source,HoldingQueueWaitingTime,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,attr,AirTrafficControl.airspace,HoldingQueueWaitingTime:mean,title,"Holding Queue Waiting Time, mean",
ExponentialRegimeStable-48964-20200223-04:07:50-15713,scalar,AirTrafficControl.airspace,HoldingQueueSize:mean,,,1.2030652722683
ExponentialRegimeStable-48964-20200223-04:07:50-15713,attr,AirTrafficControl.airspace,HoldingQueueSize:mean,source,HoldingQueueSize,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,attr,AirTrafficControl.airspace,HoldingQueueSize:mean,title,"Holding Queue Size, mean",
ExponentialRegimeStable-48964-20200223-04:07:50-15713,scalar,AirTrafficControl.airport.parkingarea,DepartQueueWaitingTime:mean,,,59.90631594
ExponentialRegimeStable-48964-20200223-04:07:50-15713,attr,AirTrafficControl.airport.parkingarea,DepartQueueWaitingTime:mean,source,DepartQueueWaitingTime,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,attr,AirTrafficControl.airport.parkingarea,DepartQueueWaitingTime:mean,title,"Depart Queue Waiting Time, mean",
ExponentialRegimeStable-48964-20200223-04:07:50-15713,scalar,AirTrafficControl.airport.parkingarea,DepartQueueSize:mean,,,1.205434723784
ExponentialRegimeStable-48964-20200223-04:07:50-15713,attr,AirTrafficControl.airport.parkingarea,DepartQueueSize:mean,source,DepartQueueSize,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,attr,AirTrafficControl.airport.parkingarea,DepartQueueSize:mean,title,"Depart Queue Sizes, mean",
ExponentialRegimeStable-48964-20200223-04:07:50-15713,scalar,AirTrafficControl.airport.parkingarea,ParkedPlanes:mean,,,1.4960500394996
ExponentialRegimeStable-48964-20200223-04:07:50-15713,attr,AirTrafficControl.airport.parkingarea,ParkedPlanes:mean,source,ParkedPlanes,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,attr,AirTrafficControl.airport.parkingarea,ParkedPlanes:mean,title,"Parked PLanes, mean",
ExponentialRegimeStable-48964-20200223-04:07:50-15713,scalar,AirTrafficControl,Runwayutilization:last,,,0.66275429041444
ExponentialRegimeStable-48964-20200223-04:07:50-15713,attr,AirTrafficControl,Runwayutilization:last,source,sum(RunwayUse)/TotalSimtime,
ExponentialRegimeStable-48964-20200223-04:07:50-15713,attr,AirTrafficControl,Runwayutilization:last,title,"Runway Utilization, last",
