time,BaseNetwork.server.aggregator(timetoserial(responseTimeStats:vector))
0,0.0446513
1,0.0896803
2,0.100528
3,0.0819161
4,0.0855191
5,0.0965662
6,0.125782
7,0.131086
8,0.142089
9,0.11681
10,0.0908762
11,0.0926915
12,0.119154
13,0.105175
14,0.099189
15,0.103618
16,0.103615
17,0.102979
18,0.135809
19,0.13631
20,0.116
21,0.129454
22,0.119259
23,0.117757
24,0.11115
25,0.108119
26,0.105493
27,0.0884061
28,0.0972314
29,0.116805
30,0.120438
31,0.111513
32,0.108053
33,0.104666
34,0.0923396
35,0.0911533
36,0.0887704
37,0.0940172
38,0.117233
39,0.0943585
40,0.0873974
41,0.101747
42,0.116583
43,0.131267
44,0.11015
45,0.115354
46,0.114163
47,0.136956
48,0.113634
49,0.128358
50,0.110654
51,0.096752
52,0.113588
53,0.102426
54,0.112803
55,0.111614
56,0.118132
57,0.138087
58,0.1352
59,0.14988
60,0.163376
61,0.162971
62,0.165733
63,0.149965
64,0.133018
65,0.121734
66,0.0982165
67,0.0905505
68,0.0852186
69,0.111947
70,0.119202
71,0.138324
72,0.113108
73,0.131316
74,0.13909
75,0.14443
76,0.143133
77,0.139216
78,0.139014
79,0.126634
80,0.133856
81,0.15313
82,0.155213
83,0.175308
84,0.174629
85,0.172955
86,0.16474
87,0.148448
88,0.132486
89,0.118024
90,0.111294
91,0.120449
92,0.104334
93,0.105258
94,0.102784
95,0.116964
96,0.112139
97,0.112073
98,0.0828551
99,0.0619416
100,0.0680982
101,0.0727951
102,0.0630971
103,0.0725916
104,0.0644926
105,0.0623782
106,0.0572713
107,0.0660057
108,0.0684522
109,0.0607213
110,0.0594963
111,0.0771751
112,0.106103
113,0.0990955
114,0.0843614
115,0.0948975
116,0.0824475
117,0.0973258
118,0.108007
119,0.0988256
120,0.118213
121,0.105774
122,0.117067
123,0.11498
124,0.106515
125,0.100131
126,0.0934078
127,0.0743306
128,0.0842946
129,0.0993407
130,0.0895945
131,0.0852384
132,0.0974233
133,0.0988105
134,0.0999692
135,0.0993971
136,0.0786541
137,0.0819166
138,0.0695749
139,0.0704003
140,0.0649428
141,0.0660686
142,0.0659946
143,0.0892961
144,0.0873411
145,0.0695348
146,0.0561403
147,0.0498709
148,0.0601282
149,0.0956679
150,0.0804895
151,0.0809522
152,0.0847979
153,0.083866
154,0.0736688
155,0.0698056
156,0.0664544
157,0.0830359
158,0.0799025
159,0.0753724
160,0.065767
161,0.0761318
162,0.0832886
163,0.0726773
164,0.0567443
165,0.099411
166,0.0839981
167,0.0803417
168,0.098309
169,0.0835461
170,0.0796008
171,0.0857933
172,0.0847045
173,0.109578
174,0.10538
175,0.107338
176,0.123418
177,0.0953736
178,0.0835653
179,0.10045
180,0.093331
181,0.093086
182,0.122442
183,0.0973946
184,0.114772
185,0.114216
186,0.106177
187,0.124199
188,0.122341
189,0.125797
190,0.110505
191,0.126008
192,0.112715
193,0.0991606
194,0.098651
195,0.114526
196,0.094855
197,0.0888065
198,0.0840143
199,0.0946637
200,0.0953382
201,0.0921915
202,0.102677
203,0.083239
204,0.0715997
205,0.0771413
206,0.0771327
207,0.077941
208,0.0963407
209,0.0836874
210,0.0839794
211,0.0873178
212,0.100555
213,0.0965923
214,0.0948684
215,0.0823696
216,0.109186
217,0.0883577
218,0.0948204
219,0.0951265
220,0.0800043
221,0.0724756
222,0.0777824
223,0.102019
224,0.0828888
225,0.088976
226,0.106339
227,0.104705
228,0.0859055
229,0.111467
230,0.103986
231,0.153549
232,0.149468
233,0.156828
234,0.145114
235,0.107805
236,0.148294
237,0.121799
238,0.110436
239,0.142237
240,0.133982
241,0.116739
242,0.123839
243,0.136887
244,0.130987
245,0.138833
246,0.156772
247,0.171533
248,0.177399
249,0.16708
250,0.153292
251,0.150621
252,0.162985
253,0.182869
254,0.185387
255,0.178515
256,0.208243
257,0.213447
258,0.211532
259,0.220576
260,0.21886
261,0.19818
262,0.196471
263,0.1987
264,0.238321
265,0.221366
266,0.216552
267,0.219166
268,0.225565
269,0.219512
270,0.218419
271,0.217505
272,0.220968
273,0.219541
274,0.199752
275,0.198098
276,0.193083
277,0.206456
278,0.20476
279,0.209812
280,0.183291
281,0.175255
282,0.163154
283,0.169856
284,0.16019
285,0.12512
286,0.113563
287,0.104129
288,0.11357
289,0.124169
290,0.106132
291,0.121137
292,0.113426
293,0.11697
294,0.101979
295,0.108018
296,0.100768
297,0.0908628
298,0.0896855
299,0.0965732
300,0.0935237
301,0.0867017
302,0.0992245
303,0.0832422
304,0.0985221
305,0.0797484
306,0.0887225
307,0.0955424
308,0.0906638
309,0.0701496
310,0.101803
311,0.0798413
312,0.0698
313,0.102986
314,0.133032
315,0.112133
316,0.147963
317,0.140946
318,0.147256
319,0.155332
320,0.138048
321,0.128054
322,0.132337
323,0.129027
324,0.123929
325,0.134949
326,0.130834
327,0.130727
328,0.115244
329,0.11067
330,0.124381
331,0.112936
332,0.126361
333,0.125982
334,0.128272
335,0.133793
336,0.121721
337,0.150063
338,0.137023
339,0.1317
340,0.114403
341,0.110214
342,0.117344
343,0.128252
344,0.141837
345,0.13278
346,0.141646
347,0.144855
348,0.139174
349,0.117453
350,0.11074
351,0.103708
352,0.123133
353,0.129177
354,0.1129
355,0.0918062
356,0.0762266
357,0.0666604
358,0.0619375
359,0.0597322
360,0.0379675
361,0.0599617
362,0.0607065
363,0.0755413
364,0.0644131
365,0.0633902
366,0.0531342
367,0.0633678
368,0.0710625
369,0.0754974
370,0.0551687
371,0.0461833
372,0.0467527
373,0.0569594
374,0.0522522
375,0.0707832
376,0.0886186
377,0.0688507
378,0.0691716
379,0.0726669
380,0.0882202
381,0.0793563
382,0.0772436
383,0.0681133
384,0.0505023
385,0.0611367
386,0.0636231
387,0.0657082
388,0.0772992
389,0.0955836
390,0.0807515
391,0.0624149
392,0.0682531
393,0.0805448
394,0.0756215
395,0.0583876
396,0.0593701
397,0.065624
398,0.0643582
399,0.0707529
400,0.0890533
401,0.093282
402,0.108245
403,0.116329
404,0.106087
405,0.0780336
406,0.081269
407,0.0942339
408,0.0821303
409,0.0802815
410,0.0598215
411,0.0709466
412,0.083422
413,0.084541
414,0.106859
415,0.10653
416,0.092165
417,0.0948137
418,0.0827302
419,0.0853386
420,0.110522
421,0.116347
422,0.128889
423,0.107765
424,0.128597
425,0.114057
426,0.106422
427,0.096037
428,0.0861569
429,0.0918676
430,0.11027
431,0.103625
432,0.0993346
433,0.102568
434,0.0909842
435,0.0931852
436,0.099189
437,0.11753
438,0.115033
439,0.107983
440,0.0937808
441,0.0932204
442,0.116035
443,0.105841
444,0.112391
445,0.139437
446,0.140992
447,0.11827
