time,BaseNetwork.server.aggregator(timetoserial(responseTimeStats:vector))
0,0.0445195
1,0.0894293
2,0.100218
3,0.0815898
4,0.0850977
5,0.0961239
6,0.12527
7,0.130491
8,0.141457
9,0.116179
10,0.0902177
11,0.0920017
12,0.118347
13,0.108264
14,0.102248
15,0.104755
16,0.102708
17,0.108541
18,0.139846
19,0.144903
20,0.133068
21,0.132235
22,0.131458
23,0.118759
24,0.111258
25,0.115791
26,0.11312
27,0.0959938
28,0.0958644
29,0.122679
30,0.118955
31,0.109995
32,0.106498
33,0.110915
34,0.0962892
35,0.0950183
36,0.0887321
37,0.0977932
38,0.115362
39,0.0924797
40,0.089679
41,0.106345
42,0.114533
43,0.129167
44,0.117253
45,0.11318
46,0.111969
47,0.134649
48,0.112704
49,0.127387
50,0.108956
51,0.0935158
52,0.111068
53,0.11048
54,0.110194
55,0.115343
56,0.115468
57,0.135356
58,0.132433
59,0.148028
60,0.160502
61,0.160088
62,0.167096
63,0.147301
64,0.130329
65,0.120863
66,0.0984507
67,0.0907392
68,0.0820908
69,0.108716
70,0.115907
71,0.126687
72,0.119701
73,0.128474
74,0.138821
75,0.141846
76,0.145756
77,0.140827
78,0.140606
79,0.138277
80,0.14021
81,0.149338
82,0.151363
83,0.171361
84,0.170664
85,0.168971
86,0.160737
87,0.144415
88,0.128949
89,0.123133
90,0.114306
91,0.116257
92,0.100096
93,0.100985
94,0.0985043
95,0.11263
96,0.107776
97,0.107688
98,0.0784648
99,0.0575425
100,0.0636291
101,0.0682996
102,0.0607052
103,0.0680446
104,0.0609611
105,0.0598994
106,0.070854
107,0.0634357
108,0.0687313
109,0.0578114
110,0.0565738
111,0.0805589
112,0.102261
113,0.0977231
114,0.0973945
115,0.0904427
116,0.0935814
117,0.103772
118,0.103443
119,0.0991774
120,0.118571
121,0.106027
122,0.111408
123,0.109638
124,0.112332
125,0.0988594
126,0.0879989
127,0.0688795
128,0.0809396
129,0.0937466
130,0.086003
131,0.083163
132,0.0957139
133,0.0946292
134,0.0985405
135,0.0946098
136,0.0867787
137,0.0774171
138,0.0650715
139,0.0644766
140,0.0737258
141,0.0682424
142,0.0673398
143,0.0832158
144,0.0812035
145,0.0661893
146,0.0519174
147,0.0456121
148,0.0732484
149,0.0892886
150,0.0782008
151,0.0744683
152,0.0887376
153,0.0801451
154,0.0671099
155,0.0706594
156,0.0672863
157,0.0763495
158,0.0736845
159,0.0695713
160,0.0652878
161,0.0696584
162,0.0764357
163,0.0657955
164,0.0521249
165,0.0975347
166,0.0857659
167,0.0732686
168,0.0911712
169,0.0764083
170,0.0767302
171,0.086715
172,0.0774776
173,0.102271
174,0.103318
175,0.0999743
176,0.115983
177,0.0885725
178,0.0807166
179,0.0929339
180,0.0858035
181,0.0855389
182,0.114822
183,0.0897686
184,0.107079
185,0.107828
186,0.111564
187,0.128151
188,0.126604
189,0.117854
190,0.102561
191,0.118017
192,0.112508
193,0.0989382
194,0.0984071
195,0.106414
196,0.0867293
197,0.08194
198,0.0771479
199,0.086454
200,0.08708
201,0.0838725
202,0.0947801
203,0.0748677
204,0.0656148
205,0.0686924
206,0.0685952
207,0.0731922
208,0.0884211
209,0.0840975
210,0.0850932
211,0.0785526
212,0.0917248
213,0.0877443
214,0.0922714
215,0.0738361
216,0.100224
217,0.0793807
218,0.0932793
219,0.0965784
220,0.0952828
221,0.0902542
222,0.0913573
223,0.0927829
224,0.0807586
225,0.0811316
226,0.109974
227,0.102743
228,0.08943
229,0.128548
230,0.134729
231,0.171319
232,0.146081
233,0.147106
234,0.137371
235,0.102669
236,0.14868
237,0.120656
238,0.136895
239,0.140172
240,0.131917
241,0.117138
242,0.116333
243,0.138066
244,0.131412
245,0.130923
246,0.164514
247,0.167464
248,0.166989
249,0.165246
250,0.154319
251,0.152187
252,0.160936
253,0.172903
254,0.183194
255,0.192856
256,0.210226
257,0.213725
258,0.232575
259,0.220767
260,0.207886
261,0.221747
262,0.216606
263,0.218814
264,0.232295
265,0.21465
266,0.232101
267,0.216016
268,0.21752
269,0.211412
270,0.214831
271,0.208088
272,0.222089
273,0.219454
274,0.213195
275,0.193989
276,0.181586
277,0.199227
278,0.198601
279,0.198196
280,0.173763
281,0.164824
282,0.156452
283,0.190047
284,0.156691
285,0.118121
286,0.101758
287,0.103611
288,0.118196
289,0.116232
290,0.0973602
291,0.109104
292,0.101955
293,0.107672
294,0.104129
295,0.111569
296,0.0920692
297,0.081935
298,0.0847682
299,0.0994407
300,0.0828286
301,0.0742288
302,0.0866636
303,0.0800046
304,0.0858894
305,0.0709812
306,0.0861168
307,0.0828229
308,0.077894
309,0.0595806
310,0.0911469
311,0.0821476
312,0.0856367
313,0.0935374
314,0.122229
315,0.103693
316,0.139449
317,0.132382
318,0.147161
319,0.141945
320,0.126338
321,0.120177
322,0.126497
323,0.122196
324,0.112898
325,0.125216
326,0.121078
327,0.11703
328,0.11003
329,0.105447
330,0.113618
331,0.102164
332,0.125533
333,0.130506
334,0.127131
335,0.130758
336,0.120605
337,0.144759
338,0.145393
339,0.127613
340,0.120209
341,0.111645
342,0.12185
343,0.125103
344,0.138648
345,0.138999
346,0.153554
347,0.158686
348,0.135063
349,0.112438
350,0.105704
351,0.117368
352,0.123927
353,0.131895
354,0.110274
355,0.0819915
356,0.0717521
357,0.0607801
358,0.0553594
359,0.0613045
360,0.049426
361,0.0623182
362,0.047329
363,0.0602477
364,0.0577684
365,0.0678126
366,0.0773519
367,0.062084
368,0.0709967
369,0.0625957
370,0.0557879
371,0.0434431
372,0.0375495
373,0.0427614
374,0.0381403
375,0.0967792
376,0.0791563
377,0.0666706
378,0.0672008
379,0.0893094
380,0.0755554
381,0.0754416
382,0.0780345
383,0.0555422
384,0.0487051
385,0.0625667
386,0.0632984
387,0.0828071
388,0.0839823
389,0.0871986
390,0.0807804
391,0.0621404
392,0.0673888
393,0.071724
394,0.0799636
395,0.0714541
396,0.0663074
397,0.0815675
398,0.0668374
399,0.066118
400,0.0893436
401,0.0891597
402,0.0957205
403,0.0998696
404,0.0936315
405,0.0698656
406,0.0754119
407,0.0862371
408,0.0730117
409,0.0726694
410,0.0545989
411,0.0536233
412,0.0730684
413,0.0881827
414,0.101611
415,0.113104
416,0.098738
417,0.0878545
418,0.0651171
419,0.118936
420,0.110611
421,0.117871
422,0.131702
423,0.110558
424,0.132339
425,0.101066
426,0.0957017
427,0.0972032
428,0.0885862
429,0.0827376
430,0.0991438
431,0.0924756
432,0.0881034
433,0.0904707
434,0.078887
435,0.0885229
436,0.112762
437,0.110048
438,0.113965
439,0.0958017
440,0.077881
441,0.0937446
442,0.10938
443,0.105409
444,0.146299
445,0.147603
446,0.133042
447,0.111515
448,0.118467
449,0.0941
450,0.0967911
451,0.0800722
452,0.0720584
453,0.0796902
454,0.0977274
455,0.116228
456,0.14459
457,0.145693
458,0.15479
459,0.142645
460,0.135434
461,0.129093
462,0.117559
463,0.115095
464,0.112992
465,0.144609
466,0.147652
467,0.134115
468,0.129542
469,0.124853
470,0.11689
471,0.184791
472,0.176785
473,0.175473
474,0.163968
475,0.156689
476,0.16237
477,0.17267
478,0.161635
479,0.163192
480,0.160842
481,0.139245
482,0.14132
483,0.137783
484,0.151237
485,0.163089
486,0.162609
487,0.163159
488,0.159669
489,0.132204
490,0.13086
491,0.143838
492,0.152788
493,0.161316
494,0.133863
495,0.126756
496,0.148542
497,0.116236
498,0.0964466
499,0.0936618
500,0.103547
501,0.112041
502,0.102726
503,0.106692
504,0.130275
505,0.12048
506,0.122037
507,0.134067
508,0.126615
509,0.113942
510,0.0998843
511,0.104944
512,0.0988799
513,0.0987337
514,0.0821828
515,0.0947931
516,0.0898406
517,0.0652151
518,0.0600101
519,0.081128
520,0.0827023
521,0.0876295
522,0.0887487
523,0.0870712
524,0.0725061
525,0.0637878
526,0.0624978
527,0.0670034
528,0.0742815
529,0.106956
530,0.0989078
531,0.0814499
532,0.0819701
533,0.0637945
534,0.0881771
535,0.0760898
536,0.0599201
537,0.0798296
538,0.0789741
539,0.0866544
540,0.0862841
541,0.0914819
542,0.0708938
543,0.105369
544,0.121584
545,0.119668
546,0.104558
547,0.109173
548,0.096113
549,0.0958446
550,0.0829538
551,0.0760036
552,0.087106
553,0.0927662
554,0.0923035
555,0.0838145
556,0.0790783
557,0.0682712
558,0.0650146
559,0.0787305
560,0.0609958
561,0.0921338
562,0.0770835
563,0.0721956
564,0.0590365
565,0.0890166
566,0.0830343
567,0.0865467
568,0.080435
569,0.0923404
570,0.11134
571,0.108628
572,0.106596
573,0.0999616
574,0.099828
575,0.107123
576,0.106301
577,0.105941
578,0.11299
579,0.0957839
580,0.13951
