time,BaseNetwork.server.aggregator(timetoserial(responseTimeStats:vector);timetoserial(responseTimeStats:vector);timetoserial(responseTimeStats:vector);timetoserial(responseTimeStats:vector);timetoserial(responseTimeStats:vector);timetoserial(responseTimeStats:vector);timetoserial(responseTimeStats:vector);timetoserial(responseTimeStats:vector);timetoserial(responseTimeStats:vector);timetoserial(responseTimeStats:vector))
0,0.0444118
1,0.0892282
2,0.0999264
3,0.0811801
4,0.0845113
5,0.0955005
6,0.124593
7,0.129647
8,0.140549
9,0.115158
10,0.0890529
11,0.0907736
12,0.118063
13,0.106808
14,0.100695
15,0.103144
16,0.101995
17,0.107752
18,0.138012
19,0.142942
20,0.131019
21,0.130123
22,0.129223
23,0.116416
24,0.114778
25,0.114903
26,0.110449
27,0.0971615
28,0.0957909
29,0.119707
30,0.115878
31,0.106797
32,0.103209
33,0.107546
34,0.0927922
35,0.0913353
36,0.0888332
37,0.0939136
38,0.111383
39,0.0883785
40,0.0854142
41,0.105587
42,0.11451
43,0.125654
44,0.113635
45,0.109437
46,0.107113
47,0.129657
48,0.10759
49,0.122206
50,0.103607
51,0.0895148
52,0.110756
53,0.104797
54,0.11401
55,0.109443
56,0.111109
57,0.129326
58,0.126288
59,0.14182
60,0.154198
61,0.157749
62,0.160597
63,0.140695
64,0.128142
65,0.113963
66,0.0989324
67,0.0847763
68,0.0783378
69,0.108106
70,0.111938
71,0.132113
72,0.134364
73,0.143046
74,0.131752
75,0.143799
76,0.137704
77,0.132684
78,0.132403
79,0.139522
80,0.139861
81,0.161192
82,0.142761
83,0.172059
84,0.163841
85,0.160115
86,0.15177
87,0.135312
88,0.129312
89,0.128547
90,0.123547
91,0.121989
92,0.0976053
93,0.0949508
94,0.0996569
95,0.114021
96,0.105689
97,0.10818
98,0.0951665
99,0.072397
100,0.0732959
101,0.065341
102,0.0660256
103,0.0598769
104,0.0567441
105,0.0653342
106,0.0648569
107,0.0659747
108,0.0672245
109,0.0578758
110,0.0556289
111,0.0913836
112,0.093705
113,0.0866225
114,0.099205
115,0.101351
116,0.107445
117,0.111338
118,0.11377
119,0.124586
120,0.126544
121,0.103409
122,0.105079
123,0.0999254
124,0.107945
125,0.0978723
126,0.0887235
127,0.0658177
128,0.0834112
129,0.0865159
130,0.0841418
131,0.0736993
132,0.0902436
133,0.093886
134,0.10278
135,0.0923504
136,0.0825809
137,0.0744005
138,0.0625219
139,0.0598755
140,0.0602842
141,0.0756792
142,0.0654108
143,0.0795431
144,0.0746397
145,0.0753465
146,0.0643886
147,0.0794202
148,0.0822932
149,0.0762913
150,0.0651011
151,0.0770085
152,0.0807923
153,0.06872
154,0.0577955
155,0.0722571
156,0.0751291
157,0.0879617
158,0.0901122
159,0.0768023
160,0.0911871
161,0.0877279
162,0.0811556
163,0.0714639
164,0.0919299
165,0.0985193
166,0.076394
167,0.0765514
168,0.102224
169,0.0877562
170,0.074397
171,0.0800795
172,0.0821275
173,0.0953024
174,0.0958915
175,0.101291
176,0.103461
177,0.0752992
178,0.0686163
179,0.0863683
180,0.0759391
181,0.0892092
182,0.0965316
183,0.0713588
184,0.112398
185,0.110769
186,0.124203
187,0.144976
188,0.129985
189,0.107083
190,0.0917275
191,0.112139
192,0.104983
193,0.0839248
194,0.0852453
195,0.0890175
196,0.0710558
197,0.0706075
198,0.067549
199,0.0686968
