"","x"
"1",0.0403762
"2",0.0770973
"3",0.0120377
"4",0.00948976
"5",0.100297
"6",0.079666
"7",0.0676025
"8",0.151755
"9",0.0208113
"10",0.0539315
"11",0.0334206
"12",0.1301
"13",0.0338838
"14",0.149146
"15",0.0306795
"16",0.13041
"17",0.0513731
"18",0.0854998
"19",0.105277
"20",0.265478
"21",0.0719906
"22",0.0742348
"23",0.0325171
"24",0.11899
"25",0.022184
"26",0.090398
"27",0.0114236
"28",0.03734
"29",0.198233
"30",0.0338011
"31",0.137977
"32",0.0643056
"33",0.036992
"34",0.0223316
"35",0.0390714
"36",0.126359
"37",0.0365628
"38",0.0385519
"39",0.0260399
"40",0.0761267
"41",0.0649344
"42",0.0195645
"43",0.360407
"44",0.0195827
"45",0.0560405
"46",0.139144
"47",0.0940051
"48",0.0817834
"49",0.0302618
"50",0.0268425
"51",0.046002
"52",0.0498985
"53",0.134708
"54",0.096703
"55",0.0338805
"56",0.0632412
"57",0.0444115
"58",0.292769
"59",0.0333062
"60",0.138519
"61",0.126111
"62",0.0150043
"63",0.261796
"64",0.0124144
"65",0.0455441
"66",0.0308258
"67",0.043035
"68",0.0204508
"69",0.0543213
"70",0.00619438
"71",0.102999
"72",0.0171201
"73",0.0347444
"74",0.0804031
"75",0.0452741
"76",0.0413905
"77",0.0329698
"78",0.0995352
"79",0.0158165
"80",0.0882511
"81",0.0795021
"82",0.314801
"83",0.0519548
"84",0.202138
"85",0.0560652
"86",0.0567418
"87",0.116645
"88",0.2372
"89",0.0493225
"90",0.00844257
"91",0.0356614
"92",0.0845533
"93",0.173368
"94",0.1812
"95",0.0253427
"96",0.0225253
"97",0.146372
"98",0.0454432
"99",0.0249852
"100",0.0352854
"101",0.0514068
"102",0.0609245
"103",0.0628203
"104",0.10864
"105",0.107746
"106",0.131948
"107",0.104146
"108",0.106756
"109",0.0570835
"110",0.213321
"111",0.283687
"112",0.0869799
"113",0.202549
"114",0.0518068
"115",0.1288
"116",0.110723
"117",0.0473937
"118",0.15445
"119",0.0813228
"120",0.198993
"121",0.0181145
"122",0.0350866
"123",0.0231295
"124",0.100288
"125",0.0629747
"126",0.0275519
"127",0.0143491
"128",0.0362415
"129",0.0345733
"130",0.13723
"131",0.0741581
"132",0.0698747
"133",0.0303767
"134",0.0121162
"135",0.00641253
"136",0.0603505
"137",0.178538
"138",0.0799648
"139",0.252857
"140",0.0986017
"141",0.187976
"142",0.112904
"143",0.00901335
"144",0.0545549
"145",0.13414
"146",0.274374
"147",0.0440314
"148",0.0882489
"149",0.01103
"150",0.0213875
"151",0.147245
"152",0.111917
"153",0.0123042
"154",0.0426268
"155",0.00862786
"156",0.036023
"157",0.165961
"158",0.212778
"159",0.0273175
"160",0.0937176
"161",0.0284181
"162",0.0686214
"163",0.0907647
"164",0.193041
"165",0.173307
"166",0.0883153
"167",0.0313638
"168",0.12602
"169",0.00547693
"170",0.0445397
"171",0.0386641
"172",0.0101019
"173",0.0939358
